,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
1450118,25-1300,1,1,4,0,15,2,6,1,0,3,       0,0,2000,1,483,1457.2,0,1,1,1,1,155.0,170.0
1450133,25-1000,1,2,1,0,71,2,5,1,0,10,       0,0,18500,3,151,2447.1,0,2,2,1,1,182.0,182.0
1450134,25-1000,1,2,1,0,52,2,6,1,0,4,       0,0,15200,2,115,2447.1,0,2,1,1,1,182.0,250.0
1450219,25-503,1,1,2,0,63,2,5,4,0,11,6241    ,62,31500,4,241,2872.7,0,1,1,1,1,88.0,88.0
1450220,25-503,1,1,2,1,84,2,5,4,0,0,       0,0,9470,2,241,2872.7,0,2,1,1,1,88.0,116.0
1450259,25-703,1,1,2,1,68,2,5,1,0,10,6111    ,61,25200,3,263,2195.3,0,1,1,1,1,61.0,61.0
1450260,25-703,1,1,2,0,35,1,6,1,0,6,4441Z   ,44,15000,2,263,2195.3,0,1,1,1,1,61.0,80.0
1450266,25-1000,1,1,1,0,35,2,6,1,0,7,722Z    ,72,52600,5,399,2447.1,0,1,1,1,1,82.0,81.0
1450272,25-503,1,1,3,1,59,1,1,1,4,10,333MS   ,33,79000,6,501,2872.7,0,1,1,1,1,123.0,123.0
1450273,25-503,1,1,3,1,53,2,1,1,4,7,622M    ,62,39500,4,501,2872.7,0,1,1,1,1,123.0,99.0
1450274,25-503,1,1,3,0,17,2,6,1,4,5,4481    ,44,6800,1,501,2872.7,0,1,1,1,1,123.0,169.0
1450275,25-503,1,1,1,0,53,1,4,1,0,6,5415    ,54,80000,6,501,2872.7,0,1,1,1,1,123.0,127.0
1450285,25-703,1,1,5,3,54,2,1,1,0,10,5415    ,54,57100,5,501,2195.3,0,1,1,1,1,67.0,68.0
1450286,25-703,1,1,5,3,64,1,1,1,0,10,5111Z   ,51,97100,7,501,2195.3,0,1,1,1,1,67.0,64.0
1450287,25-703,1,1,5,0,22,1,6,1,0,7,56173   ,56,7000,1,501,2195.3,0,1,1,1,1,67.0,86.0
1450288,25-703,1,1,5,0,19,2,6,1,0,6,713Z    ,71,4700,1,501,2195.3,0,1,1,1,1,67.0,88.0
1450289,25-703,1,1,5,0,16,1,6,1,0,4,488     ,48,4000,1,501,2195.3,0,1,1,1,1,67.0,51.0
1450294,25-2800,1,1,2,0,73,1,1,1,0,6,       0,0,102100,7,501,3683.9,1,1,1,1,1,65.0,66.0
1450295,25-2800,1,1,2,0,64,2,1,1,0,10,5415    ,54,101000,7,501,3683.9,0,1,1,1,1,65.0,60.0
1450321,25-2800,1,2,4,3,29,2,6,1,0,6,722Z    ,72,4800,1,18,3683.9,0,2,1,1,1,367.0,367.0
1450322,25-2800,1,2,4,0,9,2,6,1,0,1,       0,0,9999999,9,18,3683.9,0,1,1,1,1,367.0,402.0
1450323,25-2800,1,2,4,0,3,1,6,1,0,0,       0,0,9999999,9,18,3683.9,0,0,0,1,1,367.0,448.0
1450324,25-2800,1,2,4,0,3,1,6,1,0,0,       0,0,9999999,9,18,3683.9,0,0,0,1,1,367.0,448.0
1450326,25-1300,1,1,2,0,65,2,1,1,0,10,491     ,49,39000,4,501,1457.2,0,1,1,1,1,55.0,55.0
1450327,25-1300,1,1,2,0,70,1,1,1,0,6,       0,0,48800,5,501,1457.2,0,1,1,1,1,55.0,55.0
1450333,25-1300,1,1,3,1,65,1,1,1,0,6,4542    ,45,31000,4,331,1457.2,0,1,2,1,1,46.0,46.0
