,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
1729591,30-600,1,2,1,0,28,1,6,1,0,8,211     ,21,90000,7,501,16.3,1,1,1,1,1,221.0,222.0
1729603,30-600,1,1,1,0,78,1,4,1,0,10,       0,0,10600,2,86,16.3,1,1,1,1,1,48.0,48.0
1729604,30-600,1,2,1,0,60,1,6,1,0,10,5617Z   ,56,24310,4,184,16.3,0,2,2,1,1,160.0,161.0
1729610,30-600,1,1,2,0,63,2,1,1,0,6,622M    ,62,31500,4,300,16.3,0,1,1,1,1,75.0,75.0
1729611,30-600,1,1,2,0,67,1,1,1,0,6,23      ,23,19100,3,300,16.3,0,1,1,1,1,75.0,93.0
1729620,30-600,1,1,3,1,64,1,1,1,0,6,       0,0,28700,4,471,16.3,0,1,1,1,1,59.0,59.0
1729621,30-600,1,1,3,1,65,2,1,1,0,6,       0,0,28700,4,471,16.3,0,1,1,1,1,59.0,39.0
1729622,30-600,1,1,3,0,29,2,6,1,0,10,6111    ,61,36070,5,471,16.3,0,1,1,1,1,59.0,52.0
1729657,30-600,1,1,2,0,51,1,1,1,0,6,111     ,11,24000,4,354,16.3,1,1,1,1,1,41.0,42.0
1729658,30-600,1,1,2,0,50,2,1,1,0,6,8131    ,81,36000,5,354,16.3,0,1,1,1,1,41.0,17.0
1729672,30-600,1,1,1,0,87,2,5,1,0,6,       0,0,17000,3,140,16.3,0,1,2,2,2,95.0,96.0
1729674,30-600,1,2,1,0,51,1,4,1,0,7,2213M   ,22,39030,5,295,16.3,0,1,1,1,1,18.0,19.0
1729678,30-600,1,2,2,0,24,1,1,1,0,10,111     ,11,10000,2,76,16.3,0,1,1,1,1,32.0,32.0
1729679,30-600,1,2,2,0,23,2,1,1,0,7,722Z    ,72,3000,1,76,16.3,0,1,1,1,1,32.0,33.0
1729700,30-600,1,2,2,0,75,1,1,1,0,6,       0,0,7250,1,472,16.3,1,1,1,1,1,25.0,25.0
1729701,30-600,1,2,2,0,59,2,1,1,0,10,6111    ,61,65000,7,472,16.3,0,1,1,1,1,25.0,18.0
1729725,30-600,1,1,2,0,76,1,1,1,0,7,23      ,23,67020,7,501,16.3,9,1,1,1,2,11.0,11.0
1729726,30-600,1,1,2,0,75,2,1,1,0,7,       0,0,10100,2,501,16.3,0,1,1,1,1,11.0,15.0
1729747,30-600,1,1,2,0,73,1,1,1,0,10,23      ,23,61600,6,448,16.3,5,1,1,1,1,69.0,69.0
1729748,30-600,1,1,2,0,65,2,1,1,0,6,       0,0,7500,1,448,16.3,0,1,1,1,1,69.0,43.0
1729756,30-600,1,1,3,1,30,1,1,1,0,11,6111    ,61,47000,6,413,16.3,0,1,1,1,1,72.0,72.0
1729757,30-600,1,1,3,1,30,2,1,1,0,11,6111    ,61,37000,5,413,16.3,0,1,1,1,1,72.0,88.0
1729758,30-600,1,1,3,0,0,1,6,1,0,0,       0,0,9999999,9,413,16.3,0,0,0,1,1,72.0,87.0
1729763,30-600,1,1,2,0,67,1,1,1,0,7,5416    ,54,27500,4,364,16.3,1,1,1,1,1,8.0,8.0
1729764,30-600,1,1,2,0,67,2,1,1,0,7,491     ,49,28300,4,364,16.3,0,1,2,1,1,8.0,8.0
1729772,30-600,1,1,2,1,22,2,6,3,0,7,115     ,11,24500,4,139,16.3,0,1,1,1,1,21.0,21.0
1729773,30-600,1,1,2,0,9,2,6,3,0,1,       0,0,9999999,9,139,16.3,0,1,1,1,1,21.0,27.0
1729776,30-600,1,1,2,0,64,1,1,1,0,7,112     ,11,30000,4,296,16.3,0,1,1,1,1,17.0,17.0
1729777,30-600,1,1,2,0,64,2,1,1,0,10,491     ,49,20000,3,296,16.3,0,1,1,1,1,17.0,14.0
1729785,30-600,1,1,2,0,57,1,1,1,0,6,2211P   ,22,35000,5,207,16.3,5,1,1,1,1,74.0,74.0
1729786,30-600,1,1,2,0,58,2,1,1,0,6,       0,0,0,0,207,16.3,0,1,1,1,1,74.0,75.0
1729788,30-600,1,1,2,0,66,2,1,1,0,11,6111    ,61,31200,4,218,16.3,0,1,1,1,1,11.0,11.0
1729789,30-600,1,1,2,0,67,1,1,1,0,10,112     ,11,2000,1,218,16.3,0,1,1,1,1,11.0,13.0
1729807,30-600,1,1,1,0,61,1,6,1,0,8,112     ,11,28400,4,217,16.3,0,1,1,1,1,15.0,15.0
1729814,30-600,1,1,1,0,71,2,5,1,0,6,447     ,44,30500,4,252,16.3,0,1,1,1,1,90.0,89.0
1729815,30-600,1,1,4,2,43,1,1,1,0,6,92MP    ,92,100000,7,390,16.3,1,1,1,1,1,69.0,68.0
1729816,30-600,1,1,4,2,42,2,1,1,0,6,       0,0,0,0,390,16.3,0,1,1,1,1,69.0,47.0
